SampleDepth;cN;cC;C.N.ratio;North;East
0;0.28;6.61;23.6;7130777.346;730178.642
0;0.49;12.21;24.9;7133579.844;729133.506
0;1.11;41.52;37.4;7132175.543;734386.939
0;0.67;49.38;73.7;7133576.358;728776.144
0;0.69;20.34;29.5;7131481.073;735429.704
0;1.05;47.15;44.9;7132182.979;732982.304
0;0.93;41.27;44.4;7129032.066;736129.927
0;2.15;49.96;23.2;7133233.652;731928.777
0;1.32;47.02;35.6;7133582.162;731577.026
0;1;51.79;51.8;7128333.618;733682.331
0;1.41;42.34;30;7133228.362;732627.825
0;1.09;47.8;43.9;7130075.123;732627.086
0;1.17;50.09;42.8;7133233.649;731232.186
0;0.96;22.39;23.3;7130080.551;733678.794
0;0.89;37.55;42.2;7134283.796;734033.112
0;0.91;50;54.9;7131479.747;731230.743
0;0.81;40.87;50.5;7134275.298;728428.778
0;1.05;51.36;48.9;7133234.035;734727.859
0;1.19;47.52;39.9;7133227.676;730179.602
0;0.59;22.55;38.2;7131490.936;730881.776
0;0.85;34.69;40.8;7131142.539;733680.999
0;0.98;47.6;48.6;7133234.126;733326.016
0;0.95;30.37;32;7130081.203;735077.931
0;0.55;26.65;48.5;7129731.594;730880.065
0;1.18;46.01;39;7134286.336;731930.622
0;0.79;39.13;49.5;7131833.152;731928.569
0;1.04;39.43;37.9;7133572.514;733332.604
0;1.14;47.85;42;7135334.096;729478.407
0;1;41.63;41.6;7130427.434;730525.962
0;1.33;41.13;30.9;7127983.019;734716.799
0;1.12;42.09;37.6;7132532.438;732628.812
0;0.9;49.59;55.1;7131138.837;731234.468
0;1.13;34.47;30.5;7132532.311;734031.344
0;1.36;49.66;36.5;7133229.01;730532.824
0;0.68;28.86;42.4;7130776.267;729831.519
0;0.63;19.54;31;7132534.834;729833.045
0;1.23;35.63;29;7128685.322;735083.353
0;1.12;36.15;32.3;7130429.92;733329.944
0;0.62;23.34;37.6;7132528.151;732279.73
0;0.88;42.35;48.1;7133225.33;734040.027
0;0.62;22.5;36.3;7131129.72;735429.805
0;1.18;40.63;34.4;7133579.087;731933.101
0;0.85;44.62;52.5;7134281.586;728080.971
0;1.06;42.31;39.9;7132530.872;729482.831
0;0.99;39.54;39.9;7133934.105;727030.635
0;1.08;40.75;37.7;7129379.655;733328.932
0;1.16;47.72;41.1;7132881.509;735434.012
0;0.79;21.68;27.4;7134280.982;727730.294
0;0.67;18.83;28.1;7129732.856;731230.72
0;1.19;30.27;25.4;7133593.27;732973.851
0;1.19;28.15;23.7;7128335.35;736131.359
0;1.39;38.62;27.8;7132189.692;734710.538
0;1.01;35.01;34.7;7133579.641;730533.869
0;1.3;47.91;36.9;7133931.387;736485.276
0;0.99;41.28;41.7;7127984.32;736140.935
0;1.02;49.16;48.2;7134278.794;733685.349
0;0.89;46;51.7;7129034.116;735782.39
0;1.22;45.52;37.3;7128687.695;734035.137
0;0.89;33.92;38.1;7130782.523;731934.504
0;0.9;28.3;31.4;7130428.14;734379.664
0;1.17;40.97;35;7132882.08;731229.808
0;0.98;45.5;46.4;7132530.056;733682.465
0;0.96;45.83;47.7;7133584.543;730177.258
0;0.81;38.99;48.1;7132186.76;733331.292
0;0.78;29.71;38.1;7131130.636;734026.951
0;1.66;51;30.7;7128334.503;734029.094
0;0.73;22.03;30.2;7132883.626;729831.377
0;1.54;41.07;26.7;7133584.845;736130.614
0;1.86;49.01;26.3;7133227.538;730882.06
0;0.76;29.76;39.2;7131823.537;731577.724
0;0.78;39.17;50.2;7130083.918;736829.121
0;1.17;34.46;29.5;7130082.429;734028.075
0;1.07;45.62;42.6;7129383.082;735781.155
0;0.85;30.65;36.1;7130086.164;736492.783
0;1.07;38.57;36;7129032.972;730878.313
0;1.12;48.79;43.6;7129034.365;734376.428
0;0.91;39.39;43.3;7137782.125;733329.956
0;1.32;39.2;29.7;7136034.844;729480.076
0;1.07;39.03;36.5;7138135.675;733678.22
0;1.15;43.64;37.9;7134982.384;729127.849
0;1.59;50.49;31.8;7137781.002;731581.858
0;0.83;36.86;44.4;7135685.023;732282.698
0;0.82;33.94;41.4;7134979.224;732979.309
0;0.75;31.64;42.2;7137432.873;732993.875
0;1.06;36.31;34.3;7138133.334;734033.096
0;0.81;35.64;44;7137082.223;734378.245
0;1.52;40.55;26.7;7135328.897;732635.371
0;0.51;18.48;36.2;7136380.787;733326.858
0;1.07;45.74;42.7;7137080.836;730877.995
0;0.91;38.69;42.5;7137434.02;733312.608
0;1.04;51.46;49.5;7137427.874;731575.439
0;0.92;42.74;46.5;7136734.163;731583.743
0;0.66;22.86;34.6;7134631.799;729133.342
0;1.08;51.96;48.1;7137084;731576.984
0;1.13;43.01;38.1;7136732.22;731931.267
0;0.73;38.19;52.3;7137081.485;732280.286
0;1.03;38.59;37.5;7137432.667;731924.401
0;0.52;18.57;35.7;7136029.111;730178.979
0;1.11;36.77;33.1;7137431.299;734378.933
0;0.85;32.72;38.5;7136377.567;729479.418
0;0.87;27.3;31.4;7136035.836;727725.403
0;0.91;42.02;46.2;7136738.105;732276.898
0;1.35;42.26;31.3;7136730.445;732630.881
0;1.11;48.35;43.6;7137085.545;735080.48
0;0.91;29.26;32.2;7136733.117;734380.683
0;1.13;36.37;32.2;7137779.8;732982.17
0;1.52;57.54;37.9;7137080.032;732630.807
0;1.76;52.05;29.6;7135690.631;730881.708
0;0.84;37.05;44.1;7135328.591;731578.738
0;1.74;48.28;27.7;7137078.664;734729.592
0;0.97;48.41;49.9;7136732.369;734733.644
0;1.5;55.13;36.8;7134978.911;730179.168
0;1.32;47.14;35.7;7136380.792;730174.837
0;1.01;44.24;43.8;7138130.739;731230.116
0;1.22;46.96;38.5;7137784.195;734728.978
0;0.63;22.9;36.3;7137088.87;734029.077
0;0.7;27.41;39.2;7134982.361;734732.519
0;1.04;35.76;34.4;7136729.434;734032.089
0;1.23;52.48;42.7;7137082.916;729831.134
0;1.41;38.99;27.7;7134628.006;733333.377
0;1.24;40.47;32.6;7135331.985;735082.318
0;0.6;18.45;30.8;7138133.424;732280.852
0;1.06;37.15;35;7136034.896;732980.404
0;1.03;42.99;41.7;7134984.011;734377.015
0;1.5;51.22;34.1;7133583.53;730879.925
0;1.03;41.33;40.1;7134981.239;728780.223
0;2.03;51.99;25.6;7135331.2;730878.853
0;0.79;45.19;57.2;7136031.537;733331.059
0;1.77;56.37;31.8;7134981.927;730531.38
0;1.08;29.79;27.6;7134631.282;727381.978
0;1.03;49.7;48.3;7135334.914;731927.126
0;1.64;38.66;23.6;7133928.935;732634.392
0;1.08;42.22;39.1;7136021.577;731926.315
0;1.06;38.6;36.4;7135685.066;731933.321
0;1.01;45.14;44.7;7135683.977;731237.042
0;1.05;37.55;35.8;7134631.875;727727.57
0;1.62;50.27;31;7135332.099;729829.734
0;0.79;35.34;44.7;7135683.262;731581.976
0;0.68;27.13;39.9;7136034.155;731576.608
0;0.91;46.9;51.5;7136385.629;730524.506
0;0.86;25.13;29.2;7132880.565;731935.495
0;0.83;36.16;43.6;7135682.996;732633.623
0;1.1;46.19;42;7137084.182;731227.894
0;0.78;29.53;37.9;7136036.643;730530.59
0;0.99;48.91;49.4;7135338.588;732280.594
0;1.42;46.21;32.5;7136380.949;734734.5
