SMC;Humusform;HumusformCode;OTh_plot;OTh_pit;SoilType;North;East
Mesic;Mor (type 1);1;8.1;8;Podzol;7135685.023;732282.698
Mesic;Mor (type 1);1;4.1;3.7;Podzol;7135682.996;732633.623
Mesic;Mor (type 2);2;11;17;Podzol;7135328.897;732635.371
Mesic;Mor (type 1);1;4.5;7.7;Arenosol;7131479.747;731230.743
Mesic;Mor (type 1);1;7.8;7.7;Arenosol;7131138.837;731234.468
Mesic;Mor (type 1);1;3.8;3.5;Arenosol;7131490.936;730881.776
Mesic;Mor (type 2);2;8.9;9;Podzol;7135338.588;732280.594
Mesic;Mor (type 2);2;5.7;5.8;Regosol;7132182.979;732982.304
Mesic-moist;Mor (type 1);1;6;7.3;Regosol;7132186.76;733331.292
Mesic;Mor (type 2);2;7;7;Regosol;7131824.163;732979.017
Mesic;Mor (type 1);1;3.5;10.7;Podzol;7137082.887;729481.273
Moist;Peat;7;99;99;Histosol;7137082.916;729831.134
Mesic;Mor (type 1);1;3.9;3.7;Podzol;7136380.787;733326.858
Mesic;Mor (type 1);1;4.3;4.2;Podzol;7136730.795;729481.169
Mesic;Mor (type 2);2;5.2;7;Podzol;7136738.183;729829.802
Mesic;Mor (type 1);1;5.5;9.7;Podzol;7136031.537;733331.059
Mesic;Mor (type 1);1;8.2;3.7;Podzol;7136034.896;732980.404
Mesic;Mor (type 1);1;4.5;4.3;Podzol;7134631.799;729133.342
Mesic;Mor (type 1);1;11.6;6.5;Podzol;7134631.009;728779.691
Dry;Mor (type 1);1;6.3;4.8;Podzol;7134981.239;728780.223
Mesic;Mor (type 1);1;6.5;4.2;Podzol;7134982.384;729127.849
Dry;Mor (type 1);1;3.9;2.8;Podzol;7137080.573;733679.129
Mesic;Mor (type 1);1;6.2;7.2;Podzol;7136729.434;734032.089
Dry;Mor (type 1);1;2.7;3.1;Podzol;7130431.066;730181.297
Mesic;Mor (type 1);1;5.5;5.3;Podzol;7130788.309;730538.104
Mesic;Mor (type 1);1;5.5;5;Podzol;7137088.87;734029.077
Mesic;Mor (type 1);1;8.1;5;Arenosol;7130427.434;730525.962
Mesic;Mull;5;7.1;7.5;Umbrisol;7130777.346;730178.642
Mesic;No humus layer;0;5.5;0;Podzol;7127622.47;734381.138
Mesic;Mor (type 1);1;4.9;7;Podzol;7127637.293;734729.557
Mesic;Peat;7;37.3;30;Gleysol;7127983.019;734716.799
Dry;Mor (type 1);1;3.2;4.2;Arenosol;7130782.748;731578.179
Mesic;Mor (type 1);1;3.8;2.4;Arenosol;7130429.446;731581.77
Mesic;Mor (type 1);1;6.1;5.5;Ej klassificerbar;7130429.528;731929.796
Mesic;Mor (type 1);1;4.2;4.8;Podzol;7130782.523;731934.504
Mesic;Mor (type 1);1;5.8;7.3;Podzol;7133234.126;733326.016
Mesic;Mor (type 1);1;9.5;14;Podzol;7133572.514;733332.604
Mesic;Mor (type 2);2;13.4;20.7;Podzol;7133593.27;732973.851
Mesic;Mor (type 1);1;4.2;5.5;Podzol;7134283.796;734033.112
Mesic;Mor (type 2);2;15.3;17.7;Podzol;7134278.794;733685.349
Mesic-moist;Mor (type 2);2;21.5;22;Podzol;7133930.214;733689.269
Mesic-moist;Peat;7;65.2;77;Histosol;7133928.258;734030.946
Mesic;Mor (type 1);1;6;3.7;Podzol;7135328.08;733680.821
Dry;Mor (type 1);1;5.7;2.6;Podzol;7135677.187;733680.288
Mesic;Mor (type 1);1;5.8;5;Podzol;7135330.577;734025.028
Mesic;No humus layer;0;4.1;0;Podzol;7135683.327;734030.498
